"ID","RUT_EMPRESA_O_PRODUCTOR_MINERO","NOMBRE_EMPRESA_O_PRODUCTOR_MINERO","NOMBRE_FAENA","NOMBRE_INSTALACION","TIPO_DEPOSITO","RECURSO","TIPO_MINERIA","CANTIDAD_MUROS__CONTENCION_","CUT_REG","CUT_PROV","CUT_COM","REGION","PROVINCIA","COMUNA","UTM_NORTE","UTM_ESTE","DATUM","HUSO","LATITUD","LONGITUD","ESTADO_INSTALACION","METODO_CONSTRUCTIVO_MURO","VOL_AUTORIZADO","VOL_ACTUAL","TONELAJE_AUTORIZADO","TONELAJE_ACTUAL","RES_APRUEBA","FECHA_RES_APRUEBA","RES_PDC_APRUEBA","FECHA_RES_PDC","Shape_Length","Shape_Area"
"0018-4N","61703000-4","ENAMI","FAENA DELTA","DELTA","ESPESADO","COBRE","METÁLICO","1","4","43","4301","Coquimbo","Limarí","Ovalle","66227403806","2861808565","WGS84","19S","-305086340978076","-712281215817986","ACTIVO","NO APLICA","6666667","608450333","10000000","9126755","441","5/18/2010","","","417448362855689","100174682950367"
"0021-4N","61703000-4","ENAMI","PLANTA OVALLE","EMBALSE DE RELAVES","EMBALSE","COBRE-ORO","METÁLICO","1","4","43","4301","Coquimbo","Limarí","Ovalle","66178171107","2909934537","WGS84","19S","-305538763894439","-711789933839785","INACTIVO","","996000","","1494000","","","","3149","12/18/2015","215615182465239","817699086420304"
"0022-1N","96567040-8","CIA. MINERA TECK QUEBRADA BLANCA","QUEBRADA BLANCA","QB2","TRANQUE DE RELAVE","COBRE","METÁLICO","1","1","14","1405","Tarapacá","Tamarugal","Pica","7671819005","5158193404","WGS84","19S","-210544468815943","-688477316149146","ACTIVO","EJE CENTRAL","100","","1240000000","","3333","12/4/2018","","","92922026150817","841055581821319"
"0023-4N","78126110-6","CIA. MINERA TECK CDA","TECK-CDA","HIPOGENO","EMBALSE","COBRE","METÁLICO","5","4","41","4103","Coquimbo","Elqui","Andacollo","66492708718","2974370194","WGS84","19S","-302713358511332","-711057546795926","ACTIVO","AGUAS ABAJO","297000000","170305774","416000000","238428084","1050","12/29/2008","1680","6/24/2015","125195319587473","467826350235639"
"0024-2N","77418580-1","MANTOS COPPER","MANTOS BLANCOS","TRANQUE DE RELAVE","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2101","Antofagasta","Antofagasta","Antofagasta","74070834713","3931790877","WGS84","19S","-234427070363854","-700457447180925","INACTIVO","","5333333","","8000000","","1218","7/12/1979","209","2/14/2013","375434103449229","754496747754934"
"0025-2N","77418580-1","MANTOS COPPER","MANTOS BLANCOS","MANTOS BLANCO","FILTRADO","COBRE","METÁLICO","","2","21","2101","Antofagasta","Antofagasta","Antofagasta","74068831172","3921059693","WGS84","19S","-23444445779165","-700562632338097","ACTIVO","NO APLICA","92133333","89307840","138200000","92190867","2101","7/31/2018","209","2/14/2013","352110398088821","635395981601586"
"0026-2N","77418580-1","MANTOS COPPER","MANTOS BLANCOS","DEPOSITO RELAVES FINOS","FILTRADO","COBRE","METÁLICO","","2","21","2101","Antofagasta","Antofagasta","Antofagasta","74080752155","388444119","WGS84","19S","-234334328769137","-700920186516386","ACTIVO","NO APLICA","15540000","","21000000","10063820","2101","","929","5/18/2021","25867514697297","300430939348838"
"0029-2N","79587210-8","MINERA ESCONDIDA LTDA.","ESCONDIDA","EMBALSE DE RELAVE","EMBALSE","COBRE","METÁLICO","1","2","21","2101","Antofagasta","Antofagasta","Antofagasta","73080509695","4930926972","WGS84","19S","-243406975474084","-69068091470677","INACTIVO","NO APLICA","40158","","60237","","","","","","628110423857185","251522587596343"
"0030-2N","79587210-8","MINERA ESCONDIDA LTDA.","ESCONDIDA","LAGUNA SECA","EMBALSE","COBRE","METÁLICO","1","2","21","2101","Antofagasta","Antofagasta","Antofagasta","7299425572","4877680199","WGS84","19S","-244185679353818","-691206554235284","ACTIVO","AGUAS ABAJO","3000000000","980882009","4500000000","2050043399","2282","9/3/2019","1149","6/18/2009","32697137253089","613253875127901"
"0031-2N","79587210-8","MINERA ESCONDIDA LTDA.","ESCONDIDA","HAMBURGO","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2101","Antofagasta","Antofagasta","Antofagasta","73129630846","4949068805","WGS84","19S","-242963387488379","-690501899792401","INACTIVO","","320000000","301538056","480000000","452307084","1730","12/3/1993","1149","6/18/2009","109364825260545","634394150234946"
"0035-2N","79873300-1","CIA. MINERA CERRO DOMINADOR","PLANTA CALLEJAS ZAMORA","DEPOSITO 5","EMBALSE","COBRE","METÁLICO","1","2","21","2103","Antofagasta","Antofagasta","Sierra Gorda","74773517523","4592299715","WGS84","19S","-228109609908827","-693972747661922","ACTIVO","NO APLICA","237152","169568","429246","325181","","","","","692731655146538","329593492239358"
"0038-2N","76485762-3","CIA. MINERA ZALDIVAR","ZALDIVAR","EMBALSE DE RELAVES 3A","EMBALSE","COBRE","METÁLICO","1","2","21","2101","Antofagasta","Antofagasta","Antofagasta","73264384602","4960590011","WGS84","19S","-241746323778791","-690387995339729","ACTIVO","NO APLICA","14957106","10855404","22435660","16283106","938","4/12/2017","1647","6/19/2015","63209934648823","161567817124426"
"0039-2N","88325800-2","ALTONORTE","FAENA ALTONORTE","EMBALSE DE RELAVES","EMBALSE","COBRE","METÁLICO","1","2","21","2101","Antofagasta","Antofagasta","Antofagasta","73665702713","3629739371","WGS84","19S","-238062898401222","-703451191123434","ACTIVO","AGUAS ABAJO","823667","643309","17205000","1993275","1786","9/9/2005","1616","8/25/2009","313682731612308","552253040175971"
"0040-2N","96508670-6","MINERA MERIDIAN","EL PEÑON","EL PEÑON","FILTRADO","ORO","METÁLICO","0","2","21","2101","Antofagasta","Antofagasta","Antofagasta","72995872649","4503153781","WGS84","19S","-244163623328326","-694900735081056","INACTIVO","NO APLICA","9866667","","14800000","","85","1/13/2003","137","1/29/2010","20580338462396","270326734908616"
"0041-2N","96508670-6","MINERA MERIDIAN","EL PEÑON"," AMPLIACION EL PEÑON ","FILTRADO","ORO-PLATA","METÁLICO","0","2","21","2101","Antofagasta","Antofagasta","Antofagasta","73000843504","4504608596","WGS84","19S","-244118775602038","-694886212824282","ACTIVO","NO APLICA","29294117","17858237","49800000","28573179","1477","12/14/2010","137","1/29/2010","231491300706387","294491954012532"
"0047-2N","76765460-K","CIA. MINERA NOVA VENTURA","PLANTA SANTO DOMINGO","TRANQUE 2","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","72232313281","3487855657","WGS84","19S","-250991732366542","-70499607892322","INACTIVO","","1570000","","2355000","","3834","12/19/2003","","","258104074348755","303446566272374"
"0048-2N","76765460-K","CIA. MINERA NOVA VENTURA","PLANTA SANTO DOMINGO","TRANQUE 1","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","72223481238","3486447391","WGS84","19S","-251071325511245","-705011014550357","INACTIVO","","1390000","","2085000","","316","3/25/1996","","","154582201727889","122711886084668"
"0049-2N","79963260-8","MINERA LAS CENIZAS S.A.","LAS CENIZAS TALTAL","LAS LUCES 2","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","71603657113","3410776894","WGS84","19S","-256658799288142","-705834103028418","INACTIVO","AGUAS ABAJO","6333334","6331078","9500000","9496617","2921","8/1/2003","160","2/9/2009","302780793459329","29863090690994"
"0050-2N","79963260-8","MINERA LAS CENIZAS S.A.","LAS CENIZAS TALTAL","LAS LUCES 1","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","71608692229","3404101464","WGS84","19S","-256612625405498","-705899989953844","INACTIVO","","3439815","","5159772","","","","975","10/4/2006","256059347714729","236771446538434"
"0051-2N","79963260-8","MINERA LAS CENIZAS S.A.","LAS CENIZAS TALTAL","LAS LUCES 3","ESPESADO","COBRE","METÁLICO","2","2","21","2104","Antofagasta","Antofagasta","Taltal","71595274131","3422575468","WGS84","19S","-256735741694636","-705717576600658","ACTIVO","NO APLICA","8266666","2887120","12400000","7995922","963","8/6/2014","160","2/9/2009","521049475023978","395816340406315"
"0052-2N","sin rut conocido","CIA. MINERA SOLEDAD","PLANTA SOLEDAD","SOLEDAD I","TRANQUE DE RELAVE","ORO","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","72223818792","4446725171","WGS84","19S","-251134108337315","-695487864218543","INACTIVO","","40000","","58000","","1602","12/31/1992","","","359089268730707","689189938298805"
"0053-2N","sin rut conocido","CIA. MINERA SOLEDAD","PLANTA SOLEDAD","SOLEDAD II","EMBALSE","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","72222986583","4447740051","WGS84","19S","-251141660856409","-695477831608088","INACTIVO","NO APLICA","301542","","452313","","2967","12/30/2002","","","758919454193528","322820867715152"
"0054-2N","sin rut conocido","CIA. MINERA SOLEDAD","PLANTA SOLEDAD","TRANQUE 1","TRANQUE DE RELAVE","ORO","METÁLICO","0","2","21","2104","Antofagasta","Antofagasta","Taltal","72223822345","4449147474","WGS84","19S","-251134164982049","-695463838418416","INACTIVO","EXCAVACION TERRENO","26880","","40320","","","","","","155681899245626","167047887165191"
"0055-2N","sin rut conocido","CIA. MINERA SOLEDAD","PLANTA SOLEDAD","TRANQUE 2","TRANQUE DE RELAVE","ORO","METÁLICO","0","2","21","2104","Antofagasta","Antofagasta","Taltal","72223987727","4448688738","WGS84","19S","-251132654719202","-69546838175612","INACTIVO","EXCAVACION TERRENO","10080","","15120","","","","","","144669684625821","13991546739479"
"0056-2N","76727040-2","CIA. MINERA CENTINELA","PROYECTO ESPERANZA","ESPERANZA","ESPESADO","COBRE-ORO","METÁLICO","1","2","21","2103","Antofagasta","Antofagasta","Sierra Gorda","74575826003","4873800799","WGS84","19S","-229899940026594","-691231342248811","ACTIVO","NO APLICA","468750000","290449305","750000000","450196422","1682","8/16/2016","91","1/27/2009","249358745136089","132530692013403"
"0057-2N","61704000-K","CODELCO","CHUQUICAMATA","TALABRE","TRANQUE DE RELAVE","COBRE-MOLIBDENO","METÁLICO","6","2","22","2201","Antofagasta","El Loa","Calama","7525152121","5244013507","WGS84","19S","-223794584265059","-68762965254895","ACTIVO","EJE CENTRAL","2476136364","1276498171","4358000000","2246636781","1035","5/28/2024","1425","5/27/2015","657291395101683","704596517539849"
"0058-3N","61704000-K","CODELCO","SALVADOR","PAMPA AUSTRAL","EMBALSE","COBRE-MOLIBDENO","METÁLICO","8","3","32","3202","Atacama","Chañaral","Diego de Almagro","70960908075","3919215034","WGS84","19S","-262507897279744","-700822150367529","ACTIVO","AGUAS ABAJO","271990000","242440329","353590000","339160524","976","4/10/2015","1514","6/1/2011","268354995263368","181190931827737"
"0059-3N","61704000-K","CODELCO","SALVADOR","DEPOSITO RELAVES FILTRADOS 2","FILTRADO","COBRE-MOLIBDENO","METÁLICO","0","3","32","3202","Atacama","Chañaral","Diego de Almagro","7076950431","4509891537","WGS84","19S","-264268484621784","-694915143305803","ACTIVO","NO APLICA","1400000","","2800000","311917","910","4/5/2019","","","997303967247109","394938294096633"
"0064-3N","61704000-K","CODELCO","SALVADOR","CONVERTIDOR TENIENTE","FILTRADO","COBRE-MOLIBDENO","METÁLICO","0","3","32","3202","Atacama","Chañaral","Diego de Almagro","70763987432","4521715357","WGS84","19S","-264318699218923","-694796775478423","INACTIVO","NO APLICA","809785","664750","1886799","1963660","2900","12/22/2016","1514","6/1/2011","102817468552077","515761518401519"
"0065-5C","61704000-K","CODELCO","ANDINA","LOS LEONES","EMBALSE","COBRE-MOLIBDENO","METÁLICO","1","5","53","5301","Valparaíso","Los Andes","Los Andes","63500048816","3842359081","WGS84","19S","-329822005425586","-702389457952966","INACTIVO","","140000000","125409295","210000000","307252773","381","9/6/1978","2777","11/3/2015","973619422660461","268818789145171"
"0066-5C","61704000-K","CODELCO","ANDINA","PIUQUENES","TRANQUE DE RELAVE","COBRE-MOLIBDENO","METÁLICO","1","5","53","5301","Valparaíso","Los Andes","Los Andes","6348092767","3827325352","WGS84","19S","-329992837565276","-702552761798783","INACTIVO","AGUAS ABAJO","22000000","22000000","33000000","33000000","1726","8/22/2016","2777","11/3/2015","64186101527384","12082722734134"
"0067-RM","61704000-K","CODELCO","ANDINA","OVEJERIA","TRANQUE DE RELAVE","COBRE","METÁLICO","2","13","133","13303","Metropolitana de Santiago","Chacabuco","Tiltil","63428796427","3323315319","WGS84","19S","-330396960303142","-707955457522894","ACTIVO","AGUAS ABAJO","1286666667","4241633566667","1930000000","636245035","654","5/16/2014","2777","11/3/2015","219730398495749","126821704639757"
"0068-6C","61704000-K","CODELCO","EL TENIENTE","PISCINA EMERGENCIA","EMBALSE","COBRE","METÁLICO","0","6","61","6105","Libertador General Bernardo O'Higgins","Cachapoal","Doñihue","62145778962","3292038771","WGS84","19S","-341958251172268","-708536316557268","INACTIVO","EXCAVACION TERRENO","10924","","16386","","","","","","355900311681076","701292402781789"
"0069-6C","61704000-K","CODELCO","EL TENIENTE","EMERGENCIA 2","EMBALSE","COBRE","METÁLICO","0","6","61","6116","Libertador General Bernardo O'Higgins","Cachapoal","Requínoa","62109541155","3449505857","WGS84","19S","-342309552977435","-706834521791212","INACTIVO","EXCAVACION TERRENO","43069","","64603","","","","","","107604708520402","585337110276027"
"0070-11S","78543580-K","C.M. CERRO BAYO LTDA.","LAGUNA VERDE","TK FACHINAL","EMBALSE","ORO","METÁLICO","1","11","114","11401","Aysén del General Carlos Ibáñez del Campo","General Carrera","Chile Chico","48404813828","2702155366","WGS84","19S","-465499448954929","-719974592620872","INACTIVO","AGUAS ABAJO","6650000","4982576","9179105","8159680","1040","5/19/2016","","","28742442098833","304767379562695"
"0071-6C","61704000-K","CODELCO","EL TENIENTE","EMBALSE EMERGENCIA","EMBALSE","COBRE","METÁLICO","0","6","61","6105","Libertador General Bernardo O'Higgins","Cachapoal","Doñihue","6214692463","3294592573","WGS84","19S","-341948342612661","-708508387438379","INACTIVO","EXCAVACION TERRENO","31218","","46827","","","","","","622944698183938","234566073169113"
"0072-6C","61704000-K","CODELCO","EL TENIENTE","EMERGENCIA 1","EMBALSE","COBRE","METÁLICO","0","6","61","6116","Libertador General Bernardo O'Higgins","Cachapoal","Requínoa","62109008027","3451875377","WGS84","19S","-342314711841272","-706808899945348","INACTIVO","EXCAVACION TERRENO","59930","","89895","","","","","","187893293232663","909793399166866"
"0073-RM","61704000-K","CODELCO","EL TENIENTE","CAREN","EMBALSE","COBRE-MOLIBDENO","METÁLICO","1","13","135","13502","Metropolitana de Santiago","Melipilla","Alhué","62232829294","3029476711","WGS84","19S","-341127367593649","-711364472742824","ACTIVO","AGUAS ABAJO","2192000000","923273585","3288000000","1575008728","351","3/10/2014","1485","5/2/2015","438324882409669","242125276317696"
"0074-6C","61704000-K","CODELCO","EL TENIENTE","BARAHONA 2","TRANQUE DE RELAVE","COBRE-MOLIBDENO","METÁLICO","1","6","61","6108","Libertador General Bernardo O'Higgins","Cachapoal","Machalí","62279816541","3610002422","WGS84","19S","-340797109101837","-70506519766417","INACTIVO","AGUAS ARRIBA","34600000","","51900000","","998","1/1/2012","1485","5/2/2015","82546290366138","22876090709041"
"0075-6C","61704000-K","CODELCO","EL TENIENTE","MARGAS","ACOPIO","COBRE","METÁLICO","","6","61","6108","Libertador General Bernardo O'Higgins","Cachapoal","Machalí","62268925973","3702893121","WGS84","19S","-340907229065862","-704060320202785","INACTIVO","NO APLICA","1450000","","2175000","","","","1485","5/2/2015","629480649746246","132567085159872"
"0076-6C","61704000-K","CODELCO","EL TENIENTE","ARENAS","ACOPIO","COBRE","METÁLICO","","6","61","6108","Libertador General Bernardo O'Higgins","Cachapoal","Machalí","62268316481","3711128512","WGS84","19S","-340913742571389","-70397116426079","INACTIVO","NO APLICA","1450000","","2175000","","","","1485","5/2/2015","362539904805961","450954824195843"
"0083-2N","76081590-K","SCM SIERRA GORDA","PROYECTO SIERRA GORDA","SIERRA GORDA","ESPESADO","COBRE","METÁLICO","10","2","21","2103","Antofagasta","Antofagasta","Sierra Gorda","74722306592","4600056132","WGS84","19S","-228572406614373","-693898485901807","ACTIVO","NO APLICA","900000000","212903491","1350000000","404516632","534","5/2/2013","","","234790126850533","171735178954482"
"0084-2N","78097950-K","MINERA GUANACO SpA","GUANACO","GUANACO","FILTRADO","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","72249444341","446221566","WGS84","19S","-250903255596","-695333217625311","ACTIVO","NO APLICA","2411764","1331240","4100000","1970235","1591","8/1/2016","","","240663273205624","325496046852304"
"0094-2N","86542100-1","MINERA SPENCE","SPENCE","SPENCE","TRANQUE DE RELAVE","COBRE","METÁLICO","7","2","21","2103","Antofagasta","Antofagasta","Sierra Gorda","74839073442","4674778215","WGS84","19S","-227519207111954","-693167696802857","ACTIVO","AGUAS ABAJO","504700000","73431276","681300000","99132223","1293","5/11/2018","","","188453540467235","70341395362291"
"0096-3N","8226558-9","MIGUEL DAY","PLANTA DAY","DAY 2","TRANQUE DE RELAVE","ORO","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69695077537","3673830504","WGS84","19S","-273913135640964","-703412626925369","ACTIVO","AGUAS ABAJO","36492","68106","54739","102780","828","8/9/1984","","","399035420133535","701823789642059"
"0097-3N","8226558-9","MIGUEL DAY","PLANTA DAY","DAY","TRANQUE DE RELAVE","COBRE-ORO","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69692315972","367188284","WGS84","19S","-273937870921841","-703432622096846","INACTIVO","AGUAS ARRIBA","17600","","26400","","828","8/9/1984","","","382719076669803","785206697027051"
"0098-3N","8226558-9","MIGUEL DAY","PLANTA DAY","DESCONOCIDO","ACOPIO","ORO","METÁLICO","","3","31","3101","Atacama","Copiapó","Copiapó","69694275937","3674652845","WGS84","19S","-273920450495319","-70340439902797","INACTIVO","NO APLICA","1000","","1500","","","","","","165784675702434","156289398900654"
"0099-3N","10505201-4","JUAN ZUÑIGA VALENZUELA ","PLANTA SANTA LAURA","TRANQUE DE RELAVE","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69655931329","3698785345","WGS84","19S","-274268860000027","-703164480359305","ACTIVO","","31200","24137","46800","36206","1767","9/29/2000","251","5/19/2017","276054612764359","558280509863383"
"0100-3N","8122622-9","LUIS CORTES JARA","PLANTA MARIA ISABEL","TRANQUE DE RELAVE","TRANQUE DE RELAVE","HIERRO","METÁLICO","1","3","31","3103","Atacama","Copiapó","Tierra Amarilla","69644704506","374351122","WGS84","19S","-274374390778208","-702713238505027","INACTIVO","","49000","","73500","2180","702","7/15/1986","416","11/6/2015","44800274109655","908980682494913"
"0101-3N","8122622-9","LUIS CORTES JARA","PLANTA MARIA ISABEL","MARIA ISABEL 1","ACOPIO","COBRE","METÁLICO","","3","31","3103","Atacama","Copiapó","Tierra Amarilla","69632217709","3744248982","WGS84","19S","-274487162121733","-702707066584492","INACTIVO","NO APLICA","1300","","1950","","","","","","130971866323074","108219694993288"
"0102-3N","8122622-9","LUIS CORTES JARA","PLANTA MARIA ISABEL","MARIA ISABEL 2","ACOPIO","COBRE","METÁLICO","","3","31","3103","Atacama","Copiapó","Tierra Amarilla","6963184039","3744360066","WGS84","19S","-274490577974017","-702705981767417","INACTIVO","NO APLICA","3000","","4500","","","","","","91082840655505","545353700376132"
"0103-3N","8122622-9","LUIS CORTES JARA","PLANTA MARIA ISABEL","MARIA ISABEL 3","ACOPIO","COBRE","METÁLICO","","3","31","3103","Atacama","Copiapó","Tierra Amarilla","69631552792","3744306741","WGS84","19S","-274493168851423","-702706551012138","INACTIVO","NO APLICA","10000","","15000","","702","6/15/1986","","","185695391872125","197953174037316"
"0104-3N","5877510-K","PEDRO JESUS CASTILLO VEGA","PLANTA RAPELINA","RAPELINA","EMBALSE","ORO","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","6969357021","3673056704","WGS84","19S","-273926664924174","-703420615532386","ACTIVO","","37461","15100","56192","4520","190","2/4/1986","659","12/30/2016","330826932796771","675781467115904"
"0105-3N","76579210-K","SOC. CONTRACTUAL MINERA ALIANZA","PLANTA VIÑITA AZUL ","TRANQUE 1","TRANQUE DE RELAVE","ORO","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69667718386","3697487863","WGS84","19S","-274162350071985","-70317634133558","INACTIVO","AGUAS ARRIBA","4800","","7200","","521","5/19/1986","","","204901193007221","30072070222746"
"0106-3N","76579210-K","SOC. CONTRACTUAL MINERA ALIANZA","PLANTA VIÑITA AZUL","TRANQUE 2","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69666576178","3695329228","WGS84","19S","-274172452730571","-703198296161068","INACTIVO","EJE CENTRAL","268920","227264","403380","340897","30","1/8/1985","345","4/30/2014","107644525006296","740603126486206"
"0107-3N","76579210-K","SOC. CONTRACTUAL MINERA ALIANZA","PLANTA VIÑITA AZUL","TRANQUE 3","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69667200517","3690684258","WGS84","19S","-274166372115481","-703245208165072","INACTIVO","EJE CENTRAL","72490","88312","108735","132468","268","4/10/2014","345","4/30/2014","591813744821302","170696119358226"
"0108-3N","76579210-K","SOC. CONTRACTUAL MINERA ALIANZA","PLANTA VIÑITA AZUL","TRANQUE 4","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69667004488","3692438577","WGS84","19S","-274168309864299","-703227486163028","ACTIVO","EJE CENTRAL","36675","30073","59413","45109","951","4/4/2018","","","574103360326693","165864237348684"
"0111-3N","77041907-7","OP MINING CHILE SpA","PLANTA OP (EX FARAH)","FARAH 1-2-3-4-5-6-7","TRANQUE DE RELAVE","COBRE-ORO-HIERRO","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69678057325","3669333787","WGS84","19S","-274066315008068","-703459956583462","INACTIVO","","187300","","280950","","82","3/3/2015","281","8/13/2015","167807305039947","151087029111527"
"0112-3N","77041907-7","OP MINING CHILE SpA","PLANTA OP (EX FARAH)","EMBALSE OP","EMBALSE","COBRE-ORO","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69681622416","3671084966","WGS84","19S","-27403430882883","-703441857619308","INACTIVO","","108000","18","162000","27","278","8/13/2015","281","8/13/2015","494986155060114","121002578962881"
"0113-3N","77274073-5","INVERSIONES Y ASESORIAS DEL NORTE SPA","PLANTA ARCADIO","ARCADIO","EMBALSE","COBRE-ORO","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69676435637","3659928468","WGS84","19S","-274080030258462","-703555250402595","ACTIVO","","23032","25935","34548","31083","271","4/11/2014","337","4/25/2014","221513511282169","317467798740637"
"0117-3N","76313270-6","INVERSIONES NUTRAM S.A.","PLANTA COBRE NORTE","COBRE NORTE","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","33","3301","Atacama","Huasco","Vallenar","68408437919","3300666403","WGS84","19S","-285481386077935","-707370500772125","ACTIVO","AGUAS ABAJO","439215","603854","672000","1545563","763","9/8/2008","147","3/11/2016","117817223886196","101893057798017"
